name,class,chromosome,position_hg38,bin,source,doi
AAVS1,positive,chr19,55115785,55115,Hockemeyer NatBiotechnol2009 / liftOver PPP1R12C intron1,10.1038/nbt.1562
Pansio-1,positive,chr1,113340237,113340,Autio eLife2024 Table1,10.7554/eLife.79592
Olonne-18,positive,chr18,56410860,56410,Autio eLife2024 Table1,10.7554/eLife.79592
Keppel-19,positive,chr19,5401450,5401,Autio eLife2024 Table1,10.7554/eLife.79592
SHS231,positive,chr4,58110456,58110,Pellenz HumGeneTher2019 / liftOver hg19->hg38,10.1089/hum.2018.169
SHS229,positive,chr2,45481224,45481,Pellenz HumGeneTher2019 / liftOver hg19->hg38,10.1089/hum.2018.169
SHS253,positive,chr2,48603055,48603,Pellenz HumGeneTher2019 / liftOver hg19->hg38,10.1089/hum.2018.169
LMO2,known_unsafe,chr11,33892076,33892,insertional oncogenesis (SCID-X1); TSS (- strand),
MECOM,known_unsafe,chr3,169663775,169663,insertional oncogenesis (EVI1); TSS (- strand),
CCND2,known_unsafe,chr12,4269755,4269,insertional oncogenesis; TSS (+ strand),
HMGA2,known_unsafe,chr12,65824224,65824,insertional oncogenesis (Liu et al.); TSS (+ strand),
PRDM16,known_unsafe,chr1,3069003,3069,insertional oncogenesis; TSS (+ strand),
bg_0000,background,chr1,1035500,1035,uniform random atlas bin (seed 20260702),
bg_0001,background,chr1,1507500,1507,uniform random atlas bin (seed 20260702),
bg_0002,background,chr1,6983500,6983,uniform random atlas bin (seed 20260702),
bg_0003,background,chr1,8335500,8335,uniform random atlas bin (seed 20260702),
bg_0004,background,chr1,10999500,10999,uniform random atlas bin (seed 20260702),
bg_0005,background,chr1,12429500,12429,uniform random atlas bin (seed 20260702),
bg_0006,background,chr1,12844500,12844,uniform random atlas bin (seed 20260702),
bg_0007,background,chr1,17072500,17072,uniform random atlas bin (seed 20260702),
bg_0008,background,chr1,17110500,17110,uniform random atlas bin (seed 20260702),
bg_0009,background,chr1,23131500,23131,uniform random atlas bin (seed 20260702),
bg_0010,background,chr1,25118500,25118,uniform random atlas bin (seed 20260702),
bg_0011,background,chr1,25532500,25532,uniform random atlas bin (seed 20260702),
bg_0012,background,chr1,29881500,29881,uniform random atlas bin (seed 20260702),
bg_0013,background,chr1,31775500,31775,uniform random atlas bin (seed 20260702),
bg_0014,background,chr1,33308500,33308,uniform random atlas bin (seed 20260702),
bg_0015,background,chr1,33929500,33929,uniform random atlas bin (seed 20260702),
bg_0016,background,chr1,34375500,34375,uniform random atlas bin (seed 20260702),
bg_0017,background,chr1,35330500,35330,uniform random atlas bin (seed 20260702),
bg_0018,background,chr1,35368500,35368,uniform random atlas bin (seed 20260702),
bg_0019,background,chr1,35969500,35969,uniform random atlas bin (seed 20260702),
bg_0020,background,chr1,36176500,36176,uniform random atlas bin (seed 20260702),
bg_0021,background,chr1,36276500,36276,uniform random atlas bin (seed 20260702),
bg_0022,background,chr1,37575500,37575,uniform random atlas bin (seed 20260702),
bg_0023,background,chr1,39611500,39611,uniform random atlas bin (seed 20260702),
bg_0024,background,chr1,39647500,39647,uniform random atlas bin (seed 20260702),
bg_0025,background,chr1,39654500,39654,uniform random atlas bin (seed 20260702),
bg_0026,background,chr1,40084500,40084,uniform random atlas bin (seed 20260702),
bg_0027,background,chr1,40287500,40287,uniform random atlas bin (seed 20260702),
bg_0028,background,chr1,48083500,48083,uniform random atlas bin (seed 20260702),
bg_0029,background,chr1,48339500,48339,uniform random atlas bin (seed 20260702),
bg_0030,background,chr1,48817500,48817,uniform random atlas bin (seed 20260702),
bg_0031,background,chr1,49087500,49087,uniform random atlas bin (seed 20260702),
bg_0032,background,chr1,51426500,51426,uniform random atlas bin (seed 20260702),
bg_0033,background,chr1,53798500,53798,uniform random atlas bin (seed 20260702),
bg_0034,background,chr1,57181500,57181,uniform random atlas bin (seed 20260702),
bg_0035,background,chr1,58956500,58956,uniform random atlas bin (seed 20260702),
bg_0036,background,chr1,60824500,60824,uniform random atlas bin (seed 20260702),
bg_0037,background,chr1,61015500,61015,uniform random atlas bin (seed 20260702),
bg_0038,background,chr1,61655500,61655,uniform random atlas bin (seed 20260702),
bg_0039,background,chr1,61822500,61822,uniform random atlas bin (seed 20260702),
bg_0040,background,chr1,61868500,61868,uniform random atlas bin (seed 20260702),
bg_0041,background,chr1,61981500,61981,uniform random atlas bin (seed 20260702),
bg_0042,background,chr1,61998500,61998,uniform random atlas bin (seed 20260702),
bg_0043,background,chr1,64270500,64270,uniform random atlas bin (seed 20260702),
bg_0044,background,chr1,67166500,67166,uniform random atlas bin (seed 20260702),
bg_0045,background,chr1,67256500,67256,uniform random atlas bin (seed 20260702),
bg_0046,background,chr1,67573500,67573,uniform random atlas bin (seed 20260702),
bg_0047,background,chr1,68048500,68048,uniform random atlas bin (seed 20260702),
bg_0048,background,chr1,68338500,68338,uniform random atlas bin (seed 20260702),
bg_0049,background,chr1,69978500,69978,uniform random atlas bin (seed 20260702),
bg_0050,background,chr1,70651500,70651,uniform random atlas bin (seed 20260702),
bg_0051,background,chr1,71607500,71607,uniform random atlas bin (seed 20260702),
bg_0052,background,chr1,71718500,71718,uniform random atlas bin (seed 20260702),
bg_0053,background,chr1,73079500,73079,uniform random atlas bin (seed 20260702),
bg_0054,background,chr1,75345500,75345,uniform random atlas bin (seed 20260702),
bg_0055,background,chr1,78772500,78772,uniform random atlas bin (seed 20260702),
bg_0056,background,chr1,82232500,82232,uniform random atlas bin (seed 20260702),
bg_0057,background,chr1,84194500,84194,uniform random atlas bin (seed 20260702),
bg_0058,background,chr1,85439500,85439,uniform random atlas bin (seed 20260702),
bg_0059,background,chr1,87381500,87381,uniform random atlas bin (seed 20260702),
bg_0060,background,chr1,87759500,87759,uniform random atlas bin (seed 20260702),
bg_0061,background,chr1,87920500,87920,uniform random atlas bin (seed 20260702),
bg_0062,background,chr1,89444500,89444,uniform random atlas bin (seed 20260702),
bg_0063,background,chr1,92866500,92866,uniform random atlas bin (seed 20260702),
bg_0064,background,chr1,101236500,101236,uniform random atlas bin (seed 20260702),
bg_0065,background,chr1,103674500,103674,uniform random atlas bin (seed 20260702),
bg_0066,background,chr1,104689500,104689,uniform random atlas bin (seed 20260702),
bg_0067,background,chr1,106404500,106404,uniform random atlas bin (seed 20260702),
bg_0068,background,chr1,106988500,106988,uniform random atlas bin (seed 20260702),
bg_0069,background,chr1,107961500,107961,uniform random atlas bin (seed 20260702),
bg_0070,background,chr1,109869500,109869,uniform random atlas bin (seed 20260702),
bg_0071,background,chr1,110613500,110613,uniform random atlas bin (seed 20260702),
bg_0072,background,chr1,110912500,110912,uniform random atlas bin (seed 20260702),
bg_0073,background,chr1,111394500,111394,uniform random atlas bin (seed 20260702),
bg_0074,background,chr1,112190500,112190,uniform random atlas bin (seed 20260702),
bg_0075,background,chr1,114529500,114529,uniform random atlas bin (seed 20260702),
bg_0076,background,chr1,116286500,116286,uniform random atlas bin (seed 20260702),
bg_0077,background,chr1,116543500,116543,uniform random atlas bin (seed 20260702),
bg_0078,background,chr1,116766500,116766,uniform random atlas bin (seed 20260702),
bg_0079,background,chr1,120200500,120200,uniform random atlas bin (seed 20260702),
bg_0080,background,chr1,120263500,120263,uniform random atlas bin (seed 20260702),
bg_0081,background,chr1,120406500,120406,uniform random atlas bin (seed 20260702),
bg_0082,background,chr1,120720500,120720,uniform random atlas bin (seed 20260702),
bg_0083,background,chr1,121926500,121926,uniform random atlas bin (seed 20260702),
bg_0084,background,chr1,126836500,126836,uniform random atlas bin (seed 20260702),
bg_0085,background,chr1,129137500,129137,uniform random atlas bin (seed 20260702),
bg_0086,background,chr1,129279500,129279,uniform random atlas bin (seed 20260702),
bg_0087,background,chr1,129947500,129947,uniform random atlas bin (seed 20260702),
