chromosome,position_hg38
chr1,352500
chr1,1033500
chr1,1215500
chr1,1254500
chr1,1359500
chr1,1498500
chr1,1504500
chr1,3650500
chr1,4815500
chr1,4902500
chr1,5285500
chr1,5304500
chr1,5985500
chr1,5995500
chr1,6029500
chr1,6347500
chr1,6531500
chr1,6948500
chr1,7678500
chr1,8251500
chr1,8298500
chr1,9162500
chr1,10377500
chr1,10957500
chr1,11133500
chr1,11332500
chr1,11449500
chr1,11713500
chr1,12384500
chr1,12799500
chr1,12949500
chr1,13545500
chr1,13955500
chr1,14166500
chr1,15429500
chr1,16335500
chr1,17018500
chr1,17057500
chr1,17142500
chr1,17974500
chr1,18588500
chr1,18770500
chr1,19045500
chr1,19132500
chr1,19763500
chr1,20127500
chr1,20631500
chr1,21173500
chr1,21313500
chr1,21724500
chr1,21745500
chr1,22123500
chr1,22418500
chr1,22793500
chr1,22842500
chr1,23067500
chr1,23139500
chr1,23221500
chr1,23638500
chr1,23649500
chr1,24376500
chr1,24620500
chr1,25049500
chr1,25191500
chr1,25463500
chr1,27027500
chr1,27394500
chr1,27538500
chr1,27562500
chr1,28332500
chr1,29349500
chr1,29604500
chr1,29803500
chr1,29855500
chr1,30680500
chr1,31694500
chr1,31733500
chr1,32368500
chr1,33212500
chr1,33224500
chr1,33344500
chr1,33844500
chr1,33902500
chr1,33939500
chr1,34028500
chr1,34060500
chr1,34289500
chr1,34471500
chr1,34947500
chr1,35242500
chr1,35280500
chr1,35619500
chr1,35880500
chr1,35972500
chr1,36073500
chr1,36087500
chr1,36187500
chr1,37208500
chr1,37483500
chr1,38374500
chr1,38378500
chr1,38953500
chr1,39210500
chr1,39491500
chr1,39515500
chr1,39551500
chr1,39558500
chr1,39987500
chr1,40032500
chr1,40190500
chr1,40220500
chr1,40258500
chr1,40447500
chr1,40689500
chr1,42471500
chr1,43255500
chr1,43286500
chr1,44388500
chr1,44607500
chr1,44877500
chr1,45080500
chr1,45177500
chr1,45344500
chr1,45580500
chr1,46974500
chr1,47468500
chr1,47971500
chr1,48210500
chr1,48226500
chr1,48499500
chr1,48704500
chr1,48747500
chr1,48973500
chr1,49100500
chr1,49580500
chr1,49702500
chr1,49812500
chr1,51307500
chr1,51316500
chr1,51764500
chr1,51812500
chr1,52222500
chr1,52360500
chr1,52752500
chr1,53675500
chr1,53769500
chr1,54184500
chr1,54276500
chr1,54365500
chr1,54909500
chr1,54940500
chr1,55514500
chr1,56078500
chr1,57051500
chr1,58823500
chr1,59423500
chr1,59902500
chr1,60069500
chr1,60477500
chr1,60688500
chr1,60878500
chr1,61517500
chr1,61684500
chr1,61729500
chr1,61842500
chr1,61859500
chr1,63455500
chr1,63686500
chr1,64127500
chr1,66047500
chr1,66628500
chr1,67018500
chr1,67107500
chr1,67268500
chr1,67365500
chr1,67424500
chr1,67601500
chr1,67898500
chr1,68187500
chr1,68386500
chr1,69049500
chr1,69577500
chr1,69824500
chr1,69958500
chr1,70036500
chr1,70496500
chr1,70533500
chr1,71174500
chr1,71299500
chr1,71450500
chr1,71561500
chr1,71900500
chr1,72461500
chr1,72814500
chr1,72919500
chr1,73546500
chr1,73825500
chr1,73930500
chr1,74080500
chr1,74117500
chr1,74727500
chr1,75181500
chr1,75222500
chr1,76550500
chr1,76627500
chr1,76725500
chr1,78219500
chr1,78418500
chr1,78602500
chr1,78758500
chr1,79555500
chr1,80494500
chr1,82055500
chr1,82543500
chr1,82998500
chr1,84014500
chr1,84321500
chr1,84803500
chr1,85256500
chr1,85933500
chr1,86080500
chr1,86966500
chr1,87194500
chr1,87318500
chr1,87571500
chr1,87732500
chr1,87891500
chr1,89253500
chr1,90207500
chr1,90314500
chr1,90504500
chr1,90934500
chr1,91142500
chr1,91190500
chr1,92285500
chr1,92668500
chr1,92828500
chr1,94383500
chr1,94973500
chr1,95271500
chr1,96057500
chr1,96211500
chr1,96332500
chr1,96833500
chr1,98498500
chr1,98789500
chr1,98875500
chr1,99187500
chr1,99252500
chr1,100113500
chr1,100381500
chr1,100504500
chr1,101023500
chr1,101582500
chr1,102220500
chr1,102463500
chr1,103270500
chr1,103456500
chr1,103870500
chr1,104279500
chr1,104327500
chr1,104469500
chr1,104757500
chr1,104830500
chr1,105100500
chr1,105649500
chr1,106182500
chr1,106289500
chr1,106726500
chr1,106764500
chr1,107735500
chr1,108061500
chr1,108171500
chr1,109639500
chr1,110382500
chr1,110681500
chr1,111162500
chr1,111956500
chr1,113031500
chr1,114270500
chr1,115309500
chr1,115797500
chr1,116023500
chr1,116280500
chr1,116503500
chr1,116700500
chr1,118693500
chr1,119749500
chr1,119930500
chr1,119993500
chr1,120136500
chr1,120235500
chr1,120305500
chr1,120449500
chr1,121653500
chr1,121833500
chr1,121982500
chr1,122155500
chr1,122255500
chr1,122305500
chr1,122652500
chr1,123319500
chr1,123945500
chr1,124242500
chr1,124780500
chr1,125181500
chr1,125572500
chr1,126554500
chr1,126803500
chr1,127810500
chr1,128302500
chr1,128314500
chr1,128452500
chr1,128850500
chr1,128992500
chr1,129539500
chr1,129658500
chr1,129722500
chr1,129912500
chr1,129939500
chr1,130361500
chr1,130398500
chr1,130562500
chr1,131539500
chr1,131856500
chr1,131896500
chr1,132461500
chr1,132709500
chr1,132714500
chr1,132758500
chr1,132769500
chr1,132950500
chr1,132990500
chr1,133149500
chr1,133349500
chr1,133487500
chr1,134091500
chr1,134627500
chr1,135143500
chr1,135678500
chr1,135926500
chr1,136012500
chr1,136017500
chr1,136176500
chr1,136276500
chr1,136326500
chr1,136408500
chr1,136494500
chr1,136783500
chr1,138024500
chr1,138470500
chr1,138506500
chr1,138777500
chr1,139384500
chr1,139456500
chr1,140106500
chr1,140692500
chr1,141721500
chr1,141826500
chr1,142178500
chr1,142671500
chr1,142916500
chr1,143426500
chr1,143553500
chr1,143700500
chr1,144054500
chr1,144073500
chr1,144448500
chr1,144555500
chr1,144753500
chr1,146050500
chr1,146228500
chr1,146401500
chr1,146488500
chr1,146666500
chr1,147089500
chr1,147249500
chr1,147275500
chr1,147522500
chr1,147809500
chr1,148226500
chr1,148318500
chr1,148431500
chr1,148800500
chr1,148899500
chr1,149478500
chr1,150369500
chr1,150491500
chr1,150746500
chr1,150908500
chr1,151153500
chr1,151553500
chr1,151750500
chr1,152092500
chr1,152611500
chr1,153245500
chr1,153638500
chr1,153794500
chr1,154560500
chr1,154577500
chr1,154636500
chr1,155139500
chr1,155218500
chr1,155422500
chr1,155647500
chr1,155838500
chr1,156242500
chr1,156637500
chr1,156701500
chr1,157434500
chr1,157470500
chr1,158159500
chr1,158304500
chr1,159175500
chr1,159545500
chr1,159853500
chr1,160077500
chr1,160142500
chr1,160467500
chr1,160701500
chr1,160765500
chr1,161392500
chr1,162374500
chr1,163165500
chr1,163558500
chr1,163625500
chr1,163805500
chr1,164499500
chr1,164824500
chr1,165016500
chr1,165189500
chr1,165266500
chr1,166174500
chr1,167078500
chr1,167239500
chr1,167460500
